id,text,search_text,conversation,in_response_to,search_in_response_to
1,oi,oi,training,NULL,
2,e ae,NN:ae,training,oi,oi
3,tudo bem?,NN:bem,training,e ae,NN:ae
4,como vai?,NN:vai,training,tudo bem?,NN:bem
5,Olá! Em que posso ajudá-lo?,NN:area_unit NNP:que NN:posso VBD:ajudá-lo,training,como vai?,NN:vai
6,qual o seu nome?,NN:seu VBD:nome,training,NULL,
7,Meu nome é A.R.T.U.R.Sou seu assistente :),NNP:nome NNP:a.r.t.u.r.sou NNP:seu VBD:assistente,training,qual o seu nome?,NN:seu VBD:nome
8,qual é o seu nome?,NN:seu VBD:nome,training,NULL,
9,Meu nome é A.R.T.U.R.Sou seu assistente :),NNP:nome NNP:a.r.t.u.r.sou NNP:seu VBD:assistente,training,qual é o seu nome?,NN:seu VBD:nome
10,como se chama?,NN:antioxidant NN:chama,training,NULL,
11,Meu nome é A.R.T.U.R.Sou seu assistente :),NNP:nome NNP:a.r.t.u.r.sou NNP:seu VBD:assistente,training,como se chama?,NN:antioxidant NN:chama
12,nome?,nome,training,NULL,
13,Meu nome é A.R.T.U.R.Sou seu assistente :),NNP:nome NNP:a.r.t.u.r.sou NNP:seu VBD:assistente,training,nome?,nome
14,como você se chama?,NN:você NN:antioxidant NN:chama,training,NULL,
15,Meu nome é A.R.T.U.R.Sou seu assistente :),NNP:nome NNP:a.r.t.u.r.sou NNP:seu VBD:assistente,training,como você se chama?,NN:você NN:antioxidant NN:chama
16,quanto eu to devendo?,RB:metallic_element TO:devendo,training,NULL,
17,"Entrar em contato com o setor financeiro através do e-mail ""secretariafac@pe.senac.br"" com as informações da situação.","NNP:area_unit CC:contato NN:com NN:setor NN:financeiro NN:através VBP:e-mail JJ:""secretariafac@pe.senac.br"" NNP:com IN:informações JJ:prosecutor NN:situação",training,quanto eu to devendo?,RB:metallic_element TO:devendo
18,dívida,dívida,training,NULL,
19,"Entrar em contato com o setor financeiro através do e-mail ""secretariafac@pe.senac.br"" com as informações da situação.","NNP:area_unit CC:contato NN:com NN:setor NN:financeiro NN:através VBP:e-mail JJ:""secretariafac@pe.senac.br"" NNP:com IN:informações JJ:prosecutor NN:situação",training,dívida,dívida
20,parcelamento,parcelamento,training,NULL,
21,"Entrar em contato com o setor financeiro através do e-mail ""secretariafac@pe.senac.br"" com as informações da situação.","NNP:area_unit CC:contato NN:com NN:setor NN:financeiro NN:através VBP:e-mail JJ:""secretariafac@pe.senac.br"" NNP:com IN:informações JJ:prosecutor NN:situação",training,parcelamento,parcelamento
22,boleto,boleto,training,NULL,
23,"Entrar em contato com o setor financeiro através do e-mail ""secretariafac@pe.senac.br"" com as informações da situação.","NNP:area_unit CC:contato NN:com NN:setor NN:financeiro NN:através VBP:e-mail JJ:""secretariafac@pe.senac.br"" NNP:com IN:informações JJ:prosecutor NN:situação",training,boleto,boleto
24,pagamento de boleto,NN:de FW:boleto,training,NULL,
25,De qual mês você deseja retirar o boleto?,NNP:qual JJ:mês NN:você NN:deseja NN:retirar NN:boleto,training,pagamento de boleto,NN:de FW:boleto
26,janeiro,janeiro,training,De qual mês você deseja retirar o boleto?,NNP:qual JJ:mês NN:você NN:deseja NN:retirar NN:boleto
27,"Aqui está! <a href=""https://cdn.discordapp.com/attachments/708436348683419742/788191650518007838/boletobancario.png"" target=""_blank"">boletobancario.pdf</a>","NNP:está NN:<a JJ:href=""https://cdn.discordapp.com/attachments/708436348683419742/788191650518007838/boletobancario.png"" NN:target=""_blank"">boletobancario.pdf</a",training,janeiro,janeiro
28,pagamento,pagamento,training,NULL,
29,De qual mês você deseja retirar o boleto?,NNP:qual JJ:mês NN:você NN:deseja NN:retirar NN:boleto,training,pagamento,pagamento
30,janeiro,janeiro,training,De qual mês você deseja retirar o boleto?,NNP:qual JJ:mês NN:você NN:deseja NN:retirar NN:boleto
31,"Aqui está! <a href=""https://cdn.discordapp.com/attachments/708436348683419742/788191650518007838/boletobancario.png"" target=""_blank"">boletobancario.pdf</a>","NNP:está NN:<a JJ:href=""https://cdn.discordapp.com/attachments/708436348683419742/788191650518007838/boletobancario.png"" NN:target=""_blank"">boletobancario.pdf</a",training,janeiro,janeiro
32,Parcelamento de dívidas,NNP:de FW:dívidas,training,NULL,
33,"Entrar em contato com o setor financeiro através do e-mail ""secretariafac@pe.senac.br"" com as informações da situação.","NNP:area_unit CC:contato NN:com NN:setor NN:financeiro NN:através VBP:e-mail JJ:""secretariafac@pe.senac.br"" NNP:com IN:informações JJ:prosecutor NN:situação",training,Parcelamento de dívidas,NNP:de FW:dívidas
34,contato,contato,training,NULL,
35,"Você pode entrar em contato com a faculdade através do email <a href=""malito secretariafac@pe.senac.br"">secretariafac@pe.senac.br</a> <br /> ou telefone (81) 3413-6655","NNP:pode NN:entrar NN:area_unit NN:contato NN:com DT:faculdade NN:através VBP:telecommunicate VB:<a NNP:href=""malito NN:secretariafac@pe.senac.br"">secretariafac@pe.senac.br</a> NN:<br NNP:/> NNP:ou IN:telefone NN:(81) CD:3413-6655",training,contato,contato
36,entrar em contato,NN:area_unit NN:contato,training,NULL,
37,"Você pode entrar em contato com a faculdade através do email <a href=""malito secretariafac@pe.senac.br"">secretariafac@pe.senac.br</a> <br /> ou telefone (81) 3413-6655","NNP:pode NN:entrar NN:area_unit NN:contato NN:com DT:faculdade NN:através VBP:telecommunicate VB:<a NNP:href=""malito NN:secretariafac@pe.senac.br"">secretariafac@pe.senac.br</a> NN:<br NNP:/> NNP:ou IN:telefone NN:(81) CD:3413-6655",training,entrar em contato,NN:area_unit NN:contato
38,número,número,training,NULL,
39,"Você pode entrar em contato com a faculdade através do email <a href=""malito secretariafac@pe.senac.br"">secretariafac@pe.senac.br</a> <br /> ou telefone (81) 3413-6655","NNP:pode NN:entrar NN:area_unit NN:contato NN:com DT:faculdade NN:através VBP:telecommunicate VB:<a NNP:href=""malito NN:secretariafac@pe.senac.br"">secretariafac@pe.senac.br</a> NN:<br NNP:/> NNP:ou IN:telefone NN:(81) CD:3413-6655",training,número,número
40,telefone,telefone,training,NULL,
41,"Você pode entrar em contato com a faculdade através do email <a href=""malito secretariafac@pe.senac.br"">secretariafac@pe.senac.br</a> <br /> ou telefone (81) 3413-6655","NNP:pode NN:entrar NN:area_unit NN:contato NN:com DT:faculdade NN:através VBP:telecommunicate VB:<a NNP:href=""malito NN:secretariafac@pe.senac.br"">secretariafac@pe.senac.br</a> NN:<br NNP:/> NNP:ou IN:telefone NN:(81) CD:3413-6655",training,telefone,telefone
42,número de telegone,NN:de IN:telegone,training,NULL,
43,"Você pode entrar em contato com a faculdade através do email <a href=""malito secretariafac@pe.senac.br"">secretariafac@pe.senac.br</a> <br /> ou telefone (81) 3413-6655","NNP:pode NN:entrar NN:area_unit NN:contato NN:com DT:faculdade NN:através VBP:telecommunicate VB:<a NNP:href=""malito NN:secretariafac@pe.senac.br"">secretariafac@pe.senac.br</a> NN:<br NNP:/> NNP:ou IN:telefone NN:(81) CD:3413-6655",training,número de telegone,NN:de IN:telegone
44,email,email,training,NULL,
45,"Você pode entrar em contato com a faculdade através do email <a href=""malito secretariafac@pe.senac.br"">secretariafac@pe.senac.br</a> <br /> ou telefone (81) 3413-6655","NNP:pode NN:entrar NN:area_unit NN:contato NN:com DT:faculdade NN:através VBP:telecommunicate VB:<a NNP:href=""malito NN:secretariafac@pe.senac.br"">secretariafac@pe.senac.br</a> NN:<br NNP:/> NNP:ou IN:telefone NN:(81) CD:3413-6655",training,email,email
46,requerimentos,requerimentos,training,NULL,
47,Acessar o portal para solicitar documentação 'Requerimentos' -> 'Solicitar' -> selecione a opção referente à requisição desejada 'Solicitar'.,MD:portal VB:pregnancy NN:solicitar NN:documentação NN:'requerimentos' POS:-> NNP:'solicitar' POS:-> NNP:selecione DT:opção JJ:referente NNP:requisição NN:desejada NN:'solicitar',training,requerimentos,requerimentos
48,requerimento,requerimento,training,NULL,
49,Acessar o portal para solicitar documentação 'Requerimentos' -> 'Solicitar' -> selecione a opção referente à requisição desejada 'Solicitar'.,MD:portal VB:pregnancy NN:solicitar NN:documentação NN:'requerimentos' POS:-> NNP:'solicitar' POS:-> NNP:selecione DT:opção JJ:referente NNP:requisição NN:desejada NN:'solicitar',training,requerimento,requerimento
50,documentos,documentos,training,NULL,
51,Acessar o portal para solicitar documentação 'Requerimentos' -> 'Solicitar' -> selecione a opção referente à requisição desejada 'Solicitar'.,MD:portal VB:pregnancy NN:solicitar NN:documentação NN:'requerimentos' POS:-> NNP:'solicitar' POS:-> NNP:selecione DT:opção JJ:referente NNP:requisição NN:desejada NN:'solicitar',training,documentos,documentos
52,documentação,documentação,training,NULL,
